LP,Year,State,Cost Center,DNT,VIN #,Unit #,Color,Make,Model,Start Date,End Date
-,2021,TX,5823,G503100917413,,,WHITE,-,-,02/12/2022,-
00461D3,2018,CA,5829,10300035679517,3N6CM0KN9JK690168,1057,BLACK,NISSAN,NV200,01/01/2021,-
00467D3,2020,CA,5923,10300035679699,3N6CM0KNXLK692577,2911,BLACK,NISSAN,NV200,01/01/2021,-
00483D3,2017,CA,5826,10300030928422,3N6CM0KN6HK721435,1003,BLACK,NISSAN,NV200,01/01/2021,-
049N17,2018,NV,5929,-,3N6CM0KN8JK697581,1075,WHITE,NISSAN,NV200,01/01/2021,-
109U96,2017,TX,5803,12134031,3N6CM0KN1HK698503,1001,BLACK,NISSAN,NV200,01/01/2021,-
109V02,2017,TX,5863,12032901,3N6CM0KNXHK721244,1016,BLACK,NISSAN,NV200,01/01/2021,-
109V09,2018,TX,5810,12032910,3N6CM0KN0JK690799,1029,WHITE,NISSAN,NV200,01/01/2021,-
13296F3,2021,CA,5844,10300036116477,3N6CM0KN1MK692288,P21019,BLACK,NISSAN,NV200,01/01/2021,-
13764F3,2021,CA,5829,10300036114100,3N6CM0KNXMK691012,P21070,WHITE,NISSAN,NV200,01/01/2021,-
17441Z2,2019,CA,5929,10300035679541,1C6RR6FG6KS633539,1101,BLACK,RAM,1500 CLASSIC,01/01/2021,-
1ASL41U,2021,ID,5918,-,3N6CM0KN1MK691187,P21073,WHITE,NISSAN,NV200,01/01/2021,-
21880D3,2020,CA,5828,-,3N6CM0KN0LK703179,P21030,WHITE,NISSAN,NV200,01/01/2021,-
23075C3,2020,CA,5804,10300035679475,3N6CM0KN9LK701138,P20024,WHITE,NISSAN,NV200,01/01/2021,-
23732X2,2020,CA,5828,10300035679723,3N6CM0KN3LK695725,2914,WHITE,NISSAN,NV200,01/01/2021,-
23737X2,2020,CA,5829,10300035679731,3N6CM0KN7LK696117,2915,BLACK,NISSAN,NV200,01/01/2021,-
23741X2,2020,CA,5826,03063705,3N6CM0KNXLK695270,2916,BLACK,NISSAN,NV200,01/01/2021,-
289EKL,2021,IN,5872,-,3N1AB8DV1MY326763,P21086,BLACK,NISSAN,SENTRA,01/01/2021,-
2976172B,2020,IL,5880,3301170134,3N6CM0KN6LK699378,8004,BLACK,NISSAN,NV200,01/01/2021,-
2CEU10,2021,MO,5884,-,3N6CM0KN6MK695316,P21014,BLACK,NISSAN,NV200,01/01/2021,-
2CT4057,2021,AL,5933,25575484,3N6CM0KN7MK695292,P21010,BLACK,NISSAN,NV200,01/01/2021,-
2EC0181,2019,MD,5825,3301170137,3N6CM0KN5KK710966,1802AC,BLACK,NISSAN,NV200,01/01/2021,-
30878N2,2018,CA,5829,10300035679533,3N6CM0KN5JK704552,1085,WHITE,NISSAN,NV200,01/01/2021,-
3160763B,2021,IL,5932,-,3N6CM0KN7MK694823,P21029,WHITE,NISSAN,NV200,01/01/2021,-
3160776B,2021,IL,5868,3301188698,3N6CM0KNXMK694847,P21066,BLACK,NISSAN,NV200,01/01/2021,-
33398V7,2021,ID,5819,-,KL4CJESM9MB376949,M21067,WHITE,BUICK,ENCORE,01/01/2021,-
35047P2,2022,TN,M21069,-,KL4MMCSL8NB038323,M21069,BLACK,BUICK,ENCORE,01/01/2021,-
350M66,2020,NV,5929,10300038840983,5N1AT2MT8LC796314,9629,BLACK,NISSAN,ROGUE,01/01/2021,-
354M94,2020,NV,5895,-,1N6BF0KM2LN801881,20201,BLACK,NISSAN,NV CARGO NV1500,01/01/2021,-
35854S9,2022,TX,M21072,02809698,KL4MMCSL3NB037368,M21072,BLACK,BUICK,ENCORE,01/01/2021,-
36171G3,2021,CA,5828,10300036114506,3N6CM0KNXMK695206,P21068,BLACK,NISSAN,NV200,01/01/2021,-
37357C9,2021,IN,P21006,3301163822,ZFBHRFAB8M6V38110,P21006,WHITE,RAM,PROMASTER CITY,01/01/2021,-
37357N6,2021,IN,C18005,3301163823,ZFBHRFAB4M6V38105,C21105,WHITE,RAM,PROMASTER CITY,01/01/2021,-
37357T9,2021,TX,P21108,02805943,ZFBHRFAB0M6V38117,P21108,WHITE,RAM,PROMASTER CITY,01/01/2021,-
37358A3,2021,CO,P21107,5694963,ZFBHRFAB0M6V34813,P21107,BLACK,RAM,PROMASTER CITY,01/01/2021,-
37358G7,2021,TX,P21109,02805922,ZFBHRFABXM6V38125,P21109,WHITE,RAM,PROMASTER CITY,01/01/2021,-
37672G1,2022,TX,Unassigned,03063708,3N1AB8CV9NY213288,-,BLACK,NISSAN,SENTRA,01/01/2021,-
37818L1,2021,TX,Unassigned,03063706,ZFBHRFAB5M6V40591,P21114,WHITE,RAM,PROMASTER CITY,01/01/2021,-
37819D8,2021,TX,5886,03063372,ZFBHRFAB3M6V38161,P21115,WHITE,RAM,PROMASTER CITY,01/01/2021,-
37819L8,2021,TX,5935,03066594,ZFBHRFAB5M6V35892,P21111,BLACK,RAM,PROMASTER CITY,01/01/2021,-
37819S3,2021,TX,5801,02809661,ZFBHRFAB6M6V39174,P21110,BLACK,RAM,PROMASTER CITY,01/01/2021,-
38283G6,2021,TX,Unassigned,03063392,ZFBHRFAB7M6V40589,-,WHITE,RAM,PROMASTER CITY,01/01/2021,-
40784W2,2021,FL,5841,03301163790,ZFBHRFAB0M6V39977,C21184,WHITE,PROMASTER CITY,RAM,01/25/2022,-
41055T3,2021,TX,9099,02110964,1C4JJXFG8MW866739,M21005,WHITE,PROMASTER CITY,RAM,01/24/2022,-
41882P9,2021,TX,5802,02110959,ZFBHRFAB4M6V35284,P21126,WHITE,PROMASTER CITY,RAM,02/09/2022,-
41882Z1,2021,FL,5885,03301163796,ZFBHRFAB5M6V39201,P21119,WHITE,PROMASTER CITY,RAM,02/07/2022,-
41883G2,2021,TX,5935,G503100917397,ZFBHRFAB3M6V40587,P21124,WHITE,RAM,Promaster City,02/12/2022,-
41883N1,2021,TX,5928,DFW. 02253687,ZFBHRFABXM6V35290,P21120,WHITE,PROMASTER CITY,RAM,02/08/2022,-
41883U4,2021,NC,5819,03301163830,ZFBHRFAB2M6V40595,P21118,WHITE,PROMASTER CITY,RAM,02/07/2022,-
41954K7,2021,TX,5801,DFW. 03226073,1FMCU0G60MUB34304,M21072,BLUE,FORD,ESCAPE,02/02/2022,-
41968T3,2021,CA,5845,10300036594392,ZFBHRFAB0M6V38151,C21191,WHITE,PROMASTER CITY,RAM,02/15/2022,-
42356U4,2021,CA,5940,10300038840884,ZFBHRFAB3M6V39956,P21122,WHITE,PROMASTER CITY,RAM,02/17/2022,-
42357D1,2021,TX,5893,DFW. 02110966,ZFBHRFAB5M6V39943,P21121,WHITE,PROMASTER CITY,RAM,02/17/2022,-
